frame,timestamp,x_A,y_A,activity_roi_A,hit_A,x_B,y_B,activity_roi_B,hit_B,hits_total,condicion
261,9.2560000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
262,9.2850000000000001,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
263,9.3330000000000002,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
264,9.3670000000000009,NaN,NaN,False,False,NaN,NaN,False,False,0,competicion
265,9.3970000000000002,NaN,NaN,False,False,440.757568,397.515137,False,False,0,competicion
266,9.4329999999999998,NaN,NaN,False,False,441.256409,397.512817,False,False,0,competicion
267,9.4760000000000009,NaN,NaN,False,False,442.649109,397.92981,False,False,0,competicion
268,9.4979999999999993,NaN,NaN,False,False,443.430115,398.032257,False,False,0,competicion
269,9.5239999999999991,NaN,NaN,False,False,444.795685,398.354828,False,False,0,competicion
270,9.5559999999999992,NaN,NaN,False,False,444.606049,397.962128,False,False,0,competicion
271,9.5890000000000004,NaN,NaN,False,False,445.23999,398.160004,False,False,0,competicion
272,9.6199999999999992,NaN,NaN,False,False,445.5914,398.102142,False,False,0,competicion
273,9.6519999999999992,NaN,NaN,False,False,445.55191,397.590149,False,False,0,competicion
274,9.6850000000000005,NaN,NaN,False,False,447.322571,398.494629,False,False,0,competicion
275,9.7330000000000005,NaN,NaN,False,False,446.434784,398.456512,False,False,0,competicion
276,9.766,NaN,NaN,False,False,448.382965,397.49646,False,False,0,competicion
277,9.8010000000000002,NaN,NaN,False,False,450.049866,395.75592,False,False,0,competicion
278,9.843,NaN,NaN,False,False,445.703705,393.802094,False,False,0,competicion
279,9.8689999999999998,NaN,NaN,False,False,450.560333,391.292694,False,False,0,competicion
280,9.8940000000000001,NaN,NaN,False,False,449.647858,386.854218,False,False,0,competicion
281,9.9239999999999995,NaN,NaN,False,False,443.474426,380.397339,False,False,0,competicion
282,9.9570000000000007,438.543732,379.116455,False,False,439.517212,371.315186,False,False,0,competicion
283,9.9900000000000002,433.727722,368.234161,False,False,436.107056,361.011292,False,False,0,competicion
284,10.021000000000001,429.347931,357.553223,False,False,433.321228,351.436737,False,False,0,competicion
285,10.052,424.858276,347.434998,False,False,430.392334,342.612732,False,False,0,competicion
286,10.085000000000001,421.778046,338.062988,False,False,428.288727,334.987061,False,False,0,competicion
287,10.132999999999999,421.540741,330.726746,False,False,427.920837,328.214996,False,False,0,competicion
288,10.164999999999999,423.073761,322.187958,False,False,430.090851,320.790863,False,False,0,competicion
289,10.196999999999999,425.567963,312.559601,False,False,433.357574,313.533142,False,False,0,competicion
290,10.228,427.929077,306.17337,False,False,435.490875,307.925446,False,False,0,competicion
291,10.26,429.416046,299.253082,False,False,437.062866,302.516113,False,False,0,competicion
292,10.292,NaN,NaN,False,False,437.999786,296.904053,False,False,0,competicion
293,10.324,NaN,NaN,False,False,438.808502,289.839752,False,False,0,competicion
294,10.356999999999999,NaN,NaN,False,False,439.054352,281.894012,False,False,0,competicion
295,10.388999999999999,NaN,NaN,False,False,439.318115,273.165131,False,False,0,competicion
296,10.42,NaN,NaN,False,False,438.911133,264.163025,False,False,0,competicion
